noise_scale,circuit_type,state_label,theta,phi,repeat,backend,physical_qubits,fidelity,error_detection_rate,shots
0.5,physical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[66, 67, 74]",0.992401,0.0,0
0.5,logical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.988384,0.0377,0
0.5,physical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[66, 67, 74]",0.992401,0.0,0
0.5,logical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.988384,0.0377,0
0.5,physical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[66, 67, 74]",0.992401,0.0,0
0.5,logical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.988384,0.0377,0
0.5,physical,|1>,3.141592653589793,0.0,0,ibm_torino,"[66, 67, 74]",0.992156,0.0,0
0.5,logical,|1>,3.141592653589793,0.0,0,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.997099,0.0387,0
0.5,physical,|1>,3.141592653589793,0.0,1,ibm_torino,"[66, 67, 74]",0.992156,0.0,0
0.5,logical,|1>,3.141592653589793,0.0,1,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.997099,0.0387,0
0.5,physical,|1>,3.141592653589793,0.0,2,ibm_torino,"[66, 67, 74]",0.992156,0.0,0
0.5,logical,|1>,3.141592653589793,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.997099,0.0387,0
1.0,physical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[66, 67, 74]",0.984857,0.0,0
1.0,logical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.976868,0.0737,0
1.0,physical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[66, 67, 74]",0.984857,0.0,0
1.0,logical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.976868,0.0737,0
1.0,physical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[66, 67, 74]",0.984857,0.0,0
1.0,logical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.976868,0.0737,0
